team name,roster,league,division,team payroll,  w,  l,wpct,rank,lgrk,mlb rk,last yr payroll,top salary
New York Yankees,team roster,AL,East,"197,962,289",95,67,0.586,1,1,3,"202,689,028",Alex Rodriguez (1)
Philadelphia Phillies,team roster,NL,East,"174,538,938",81,81,0.5,3,8,16,"172,976,379",Cliff Lee (9)
Boston Red Sox,team roster,AL,East,"173,186,617",69,93,0.426,5,12,25,"161,762,475",Adrian Gonzalez (8)
Los Angeles Angels,team roster,AL,West,"154,485,166",89,73,0.549,0,5,9,"138,543,166",Vernon Wells (2)
Detroit Tigers,team roster,AL,Central,"132,300,000",88,74,0.543,1,6,10,"105,700,231",Prince Fielder (5)
Texas Rangers,team roster,AL,West,"120,510,974",93,69,0.574,2,2,6,"92,299,264",Michael Young (28)
Miami Marlins,team roster,NL,East,"118,078,000",69,93,0.426,5,13,24,"56,944,000",Carlos Zambrano (16)
Seattle Mariners,team roster,AL,West,"117,620,683",75,87,0.463,4,9,20,"86,524,600",Felix Hernandez (15)
St. Louis Cardinals,team roster,NL,Central,"110,300,862",88,74,0.543,2,5,11,"105,433,572",Matt Holliday (27)
Milwaukee Brewers,team roster,NL,Central,"97,653,944",83,79,0.512,3,7,14,"85,497,333",Zack Greinke (49)
Chicago White Sox,team roster,AL,Central,"96,919,500",85,77,0.525,2,7,13,"127,789,000",Jake Peavy (24)
Los Angeles Dodgers,team roster,NL,West,"95,143,575",86,76,0.531,2,6,12,"104,188,999",Ted Lilly (64)
Minnesota Twins,team roster,AL,Central,"94,085,000",66,96,0.407,5,14,27,"112,737,000",Joe Mauer (5)
New York Mets,team roster,NL,East,"93,353,983",74,88,0.457,4,12,21,"118,847,309",Johan Santana (3)
Chicago Cubs,team roster,NL,Central,"88,197,033",61,101,0.377,5,15,29,"125,047,329",Alfonso Soriano (16)
Atlanta Braves,team roster,NL,East,"83,309,942",94,68,0.58,2,4,4,"87,002,692",Chipper Jones (42)
Cincinnati Reds,team roster,NL,Central,"82,203,616",97,65,0.599,1,2,2,"75,947,134",Brandon Phillips (54)
San Francisco Giants,team roster,NL,West,"81,978,100",94,68,0.58,1,3,5,"118,198,333",Barry Zito (16)
Baltimore Orioles,team roster,AL,East,"81,428,999",93,69,0.574,2,3,7,"85,304,038",Nick Markakis (56)
Washington Nationals,team roster,NL,East,"81,336,143",98,64,0.605,1,1,1,"63,856,928",Jayson Werth (48)
Cleveland Indians,team roster,AL,Central,"78,430,300",68,94,0.42,4,13,26,"49,190,566",Derek Lowe (34)
Colorado Rockies,team roster,NL,West,"78,069,571",64,98,0.395,5,14,28,"88,148,071",Jorge De La Rosa (74)
Toronto Blue Jays,team roster,AL,East,"75,489,200",73,89,0.451,4,10,22,"62,567,800",Jose Bautista (42)
Arizona Diamondbacks,team roster,NL,West,"74,284,833",81,81,0.5,3,9,15,"53,639,833",Stephen Drew (118)
Tampa Bay Rays,team roster,AL,East,"64,173,500",90,72,0.556,3,4,8,"41,053,571",James Shields (113)
Pittsburgh Pirates,team roster,NL,Central,"63,431,999",79,83,0.488,4,10,17,"45,047,000",AJ Burnett (26)
Kansas City Royals,team roster,AL,Central,"60,916,225",72,90,0.444,3,11,23,"36,126,000",Billy Butler (102)
Houston Astros,team roster,NL,Central,"60,651,000",55,107,0.34,6,16,30,"70,694,000",Carlos Lee (16)
Oakland Athletics,team roster,AL,West,"55,372,500",94,68,0.58,1,8,18,"66,536,500",Yoenis Cespedes (94)
San Diego Padres,team roster,NL,West,"55,244,700",76,86,0.469,4,11,19,"45,869,140",Huston Street (122)
