team name,roster,league,division,team payroll,  w,  l,wpct,rank,lgrk,mlb rk,last yr payroll,top salary
New York Yankees,team roster,AL,East,"206,333,389",95,67,0.586,2,2,3,"201,449,189",Alex Rodriguez (1)
Boston Red Sox,team roster,AL,East,"162,747,333",89,73,0.549,3,5,10,"121,745,999",John Lackey (12)
Chicago Cubs,team roster,NL,Central,"146,859,000",75,87,0.463,5,13,23,"134,809,000",Alfonso Soriano (8)
Philadelphia Phillies,team roster,NL,East,"141,927,381",97,65,0.599,1,1,1,"113,004,046",Ryan Howard (8)
New York Mets,team roster,NL,East,"132,701,445",79,83,0.488,4,10,20,"149,373,987",Johan Santana (5)
Detroit Tigers,team roster,AL,Central,"122,864,929",81,81,0.5,3,9,16,"115,085,145",Miguel Cabrera (6)
Chicago White Sox,team roster,AL,Central,"108,273,197",88,74,0.543,2,6,11,"96,068,500",Jake Peavy (27)
Los Angeles Angels,team roster,AL,West,"105,013,667",80,82,0.494,3,10,17,"113,709,000",Torii Hunter (14)
Seattle Mariners,team roster,AL,West,"98,376,667",61,101,0.377,4,14,29,"98,904,166",Ichiro Suzuki (16)
San Francisco Giants,team roster,NL,West,"97,828,833",92,70,0.568,1,2,5,"82,616,450",Barry Zito (14)
Minnesota Twins,team roster,AL,Central,"97,559,167",94,68,0.58,1,3,4,"65,299,266",Justin Morneau (27)
Los Angeles Dodgers,team roster,NL,West,"94,945,517",80,82,0.494,4,8,19,"100,414,592",Manny Ramirez (13)
St. Louis Cardinals,team roster,NL,Central,"93,540,753",86,76,0.531,2,6,12,"77,605,109",Matt Holliday (21)
Houston Astros,team roster,NL,Central,"92,355,500",76,86,0.469,4,12,22,"102,996,414",Carlos Lee (8)
Atlanta Braves,team roster,NL,East,"84,423,667",91,71,0.562,2,3,6,"96,726,166",Derek Lowe (27)
Colorado Rockies,team roster,NL,West,"84,227,000",83,79,0.512,3,7,14,"75,201,000",Todd Helton (18)
Baltimore Orioles,team roster,AL,East,"81,612,500",66,96,0.407,5,13,27,"67,101,666",Kevin Millwood (58)
Milwaukee Brewers,team roster,NL,Central,"81,108,279",77,85,0.475,3,11,21,"80,182,502",Jeff Suppan (46)
Cincinnati Reds,team roster,NL,Central,"72,386,544",91,71,0.562,1,4,7,"73,558,500",Aaron Harang (48)
Kansas City Royals,team roster,AL,Central,"72,267,710",67,95,0.414,5,12,26,"70,519,333",Gil Meche (53)
Tampa Bay Rays,team roster,AL,East,"71,923,471",96,66,0.593,1,1,2,"63,313,034",Carlos Pena (76)
Toronto Blue Jays,team roster,AL,East,"62,689,357",85,77,0.525,4,7,13,"80,538,300",Vernon Wells (24)
Washington Nationals,team roster,NL,East,"61,425,000",69,93,0.426,5,14,24,"60,328,000",Adam Dunn (58)
Cleveland Indians,team roster,AL,Central,"61,203,967",69,93,0.426,4,11,25,"81,579,166",Travis Hafner (67)
Arizona Diamondbacks,team roster,NL,West,"60,718,167",65,97,0.401,5,15,28,"73,516,666",Dan Haren (104)
Florida Marlins,team roster,NL,East,"55,641,500",80,82,0.494,3,9,18,"36,834,000",Nate Robertson (77)
Texas Rangers,team roster,AL,West,"55,250,545",90,72,0.556,1,4,9,"68,178,798",Michael Young (41)
Oakland Athletics,team roster,AL,West,"51,654,900",81,81,0.5,2,8,15,"62,310,000",Eric Chavez (48)
San Diego Padres,team roster,NL,West,"37,799,300",90,72,0.556,2,5,8,"43,734,200",Chris Young (140)
Pittsburgh Pirates,team roster,NL,Central,"34,943,000",57,105,0.352,6,16,30,"48,693,000",Paul Maholm (172)
